USA,John Irvin,Action,Raw Deal,R,106,5.5,Arnold Schwarzenegger,Luciano Vincenzoni,1986
USA,Nelson Shin,Animation,The Transformers The Movie,PG,84,7.3,Orson Welles,Ron Friedman,1986
USA,Hal Needham,Drama,Rad,PG,91,7.2,Bart Conner,Sam Bernard,1986
USA,Fred Dekker,Comedy,Night of the Creeps,R,88,6.8,Jason Lively,Fred Dekker,1986
USA,Tobe Hooper,Horror,Invaders from Mars,PG,100,5.5,Karen Black,Richard Blake,1986
USA,Walter Hill,Drama,Crossroads,R,99,7.1,Ralph Macchio,John Fusco,1986
UK,David Anspaugh,Drama,Hoosiers,PG,114,7.6,Gene Hackman,Angelo Pizzo,1986
Sweden,Andrei Tarkovsky,Drama,Sacrifice,PG,149,8.1,Erland Josephson,Andrei Tarkovsky,1986
USA,James Foley,Crime,At Close Range,R,111,7,Sean Penn,Elliott Lewitt,1986
USA,Peter Markle,Drama,Youngblood,R,110,6.1,Rob Lowe,Peter Markle,1986
USA,Corey Yuen,Action,No Retreat No Surrender,PG,85,5.6,Kurt McKinney,See-Yuen Ng,1986
USA,Anthony Perkins,Horror,Psicosis III,R,93,5.3,Anthony Perkins,Charles Edward Pogue,1986
USA,Mike Nichols,Comedy,Heartburn,R,108,6.1,Meryl Streep,Nora Ephron,1986
USA,Michael Chapman,Adventure,The Clan of the Cave Bear,R,98,5.3,Daryl Hannah,Jean M. Auel,1986
USA,Menahem Golan,Action,The Delta Force,R,125,5.6,Chuck Norris,James Bruner,1986
USA,Wes Craven,Drama,Deadly Friend,R,91,5.5,Matthew Labyorteaux,Diana Henstell,1986
USA,Edward Zwick,Comedy,About Last Night...,R,113,6.2,Rob Lowe,David Mamet,1986
USA,Steve Miner,Comedy,Soul Man,PG-13,104,5.2,C. Thomas Howell,Carol Black,1986
USA,Savage Steve Holland,Comedy,One Crazy Summer,PG,93,6.4,John Cusack,Savage Steve Holland,1986
USA,Charles Martin Smith,Comedy,Trick or Treat,R,98,5.8,Marc Price,Rhet Topham,1986
USA,Ron Howard,Comedy,Gung Ho,PG-13,112,6.2,Michael Keaton,Edwin Blum,1986
USA,Sidney Lumet,Crime,The Morning After,R,103,6,Jane Fonda,James Cresson,1986
USA,Jerry Paris,Comedy,Police Academy 3: Back in Training,PG,83,5.2,Steve Guttenberg,Neal Israel,1986
USA,Spike Lee,Comedy,She's Gotta Have It,R,84,6.6,Tracy Camilla Johns,Spike Lee,1986
USA,Jim Abrahams,Comedy,Ruthless People,R,93,6.9,Bette Midler,Dale Launer,1986
USA,Paul Michael Glaser,Action,Band of the Hand,R,109,6.3,Stephen Lang,Leo Garen,1986
USA,John Frankenheimer,Crime,52 Pick-Up,R,110,6.4,Roy Scheider,Elmore Leonard,1986
USA,Randa Haines,Drama,Children of a Lesser God,R,119,7.2,William Hurt,Mark Medoff,1986
USA,Mark L. Lester,Action,Armed and Dangerous,PG-13,88,5.6,John Candy,Brian Grazer,1986
USA,Jim Jarmusch,Comedy,Down by Law,R,107,7.8,Tom Waits,Jim Jarmusch,1986
USA,Robert Mandel,Action,F/X,R,109,6.7,Bryan Brown,Robert T. Megginson,1986
Japan,Masanori Hata,Adventure,The Adventures of Milo and Otis,G,90,7.1,Kyôko Koizumi,Masanori Hata,1986
USA,Jonathan Demme,Comedy,Something Wild,R,114,6.9,Jeff Daniels,E. Max Frye,1986
USA,Marshall Brickman,Sci-Fi,The Manhattan Project,PG-13,117,6.1,John Lithgow,Marshall Brickman,1986
USA,Fred Walton,Horror,April Fool's Day,R,89,6.2,Deborah Foreman,Danilo Bach,1986
USA,Alan Johnson,Action,Solarbabies,PG-13,94,4.8,Richard Jordan,Walon Green,1986
USA,Jim McBride,Comedy,The Big Easy,R,102,6.6,Dennis Quaid,Daniel Petrie Jr.,1986
USA,Penny Marshall,Comedy,Jumpin' Jack Flash,R,105,5.8,Whoopi Goldberg,David Franzoni,1986
France,Roman Polanski,Adventure,Piratas,PG-13,121,6.1,Walter Matthau,John Brownjohn,1986
UK,Jimmy T. Murakami,Animation,When the Wind Blows,Not specified,80,7.8,Peggy Ashcroft,Raymond Briggs,1986
USA,Jeff Kanew,Comedy,Tough Guys,PG,104,6.2,Burt Lancaster,James Orr,1986
Spain,Pedro Almodóvar,Drama,Matador,NC-17,110,7,Assumpta Serna,Pedro Almodóvar,1986
USA,Harley Cokeliss,Action,Black Moon Rising,R,100,5.4,Tommy Lee Jones,John Carpenter,1986
USA,Roger Spottiswoode,Comedy,The Best of Times,PG-13,104,5.9,Robin Williams,Ron Shelton,1986
UK,Kevin Tenney,Horror,Witchboard,R,98,5.7,Todd Allen,Kevin Tenney,1986
USA,Paul Mazursky,Comedy,Down and Out in Beverly Hills,R,103,6.1,Nick Nolte,René Fauchois,1986
UK,Trevor Nunn,Biography,Lady Jane,PG-13,136,7.2,Helena Bonham Carter,Chris Bryant,1986
USA,Thomas Michael Donnelly,Crime,Quicksilver,PG,105,5.6,Kevin Bacon,Thomas Michael Donnelly,1986
USA,Mike Joens,Animation,My Little Pony: The Movie,G,86,6,Danny DeVito,George Arthur Bloom,1986
UK,Ken Russell,Horror,Gothic,R,87,5.7,Gabriel Byrne,Lord Byron,1986
USA,Hal Ashby,Action,8 Million Ways to Die,R,115,5.7,Jeff Bridges,Lawrence Block,1986
USA,Richard Pearce,Crime,No Mercy,R,106,5.7,Richard Gere,James Carabatsos,1986
USA,Gene Wilder,Comedy,Haunted Honeymoon,PG,82,5.6,Gene Wilder,Gene Wilder,1986
USA,Ted Nicolaou,Comedy,TerrorVision,R,83,5.7,Diane Franklin,Ted Nicolaou,1986
USA,Gary Nelson,Action,Allan Quatermain and the Lost City of Gold,PG,99,4.4,Richard Chamberlain,H. Rider Haggard,1986
UK,Neil Jordan,Crime,Mona Lisa,R,104,7.4,Bob Hoskins,Neil Jordan,1986
USA,Garry Marshall,Comedy,Nothing in Common,PG,118,5.9,Tom Hanks,Rick Podell,1986
USA,J. Lee Thompson,Action,Firewalker,PG,104,5,Chuck Norris,Robert Gosnell,1986
UK,Nicolas Roeg,Adventure,Castaway,R,117,6,Oliver Reed,Lucy Irvine,1986
USA,Richard Wenk,Comedy,Vamp,R,93,5.9,Chris Makepeace,Donald P. Borchers,1986
UK,Derek Jarman,Biography,Caravaggio,Not specified,93,6.7,Noam Almaz,Derek Jarman,1986
France,Leos Carax,Crime,Mauvais Sang,UNRATED,116,7.3,Michel Piccoli,Leos Carax,1986
USA,Duncan Gibbins,Drama,Fire with Fire,PG-13,103,6.6,Craig Sheffer,Bill Phillips,1986
USA,Harold Ramis,Comedy,Club Paradise,PG-13,96,4.9,Robin Williams,Harry Shearer,1986
USA,Ivan Reitman,Comedy,Legal Eagles,PG,116,5.9,Robert Redford,Ivan Reitman,1986
